,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
13812,15198,236,236,2022-11-22 20:23:57+00:00,AllieMannheimer,1280139434927755264,"The Biden Administration has extended the pause on student loan payments to June 30. It was set to expire at the end of this year. 
#studentloan #studentdebt",https://pbs.twimg.com/profile_images/1585760742157983745/iA-GBdlA_normal.jpg,United States,biden administration extended pause student loan payments june set expire end year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13815,15201,239,239,2022-11-22 19:08:02+00:00,thecentersquare,64723403,#highered #studentdebt #studentloan A bill that would prevent student loan-related license revocation in Massachusetts is headed to Gov. Charlie Baker’s desk. #mapoli  @KarenSpilka @JamieEldridgeMA @CharlieBakerMA https://t.co/BIQyUYcGYg,https://pbs.twimg.com/profile_images/1128314418956206081/3KkZXN8h_normal.png,United States,bill would prevent student loan related license revocation massachusetts headed gov charlie baker desk,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.0258}",Neutral
13825,15211,249,249,2022-11-22 07:14:03+00:00,VotreChoix2,1417178967862358023,"So...This Is What They Call ""Fairness""?! #StudentDebt #America #AynRand  

https://t.co/b7kvIBsQJL https://t.co/01eUqQHiED",https://pbs.twimg.com/profile_images/1594338834543788032/kKvd1C-e_normal.jpg,United States,call fairness,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13827,15213,251,251,2022-11-22 01:00:19+00:00,eoionline,28181251,"Some student loan borrowers have begun receiving notification of #debtrelief. Biden's plan is absolutely an essential first step - but we can't let it end here. #studentloans #studentdebt 

https://t.co/dbKgStUOln",https://pbs.twimg.com/profile_images/1044319577562263552/VOPYaJwI_normal.jpg,United States,student loan borrowers begun receiving notification bidens plan absolutely essential first step cant let end,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13828,15214,252,252,2022-11-22 00:30:29+00:00,REI_BJP,1409947382209466368,"Of course Indiana is leading the charge.
#indiana #studentdebt

https://t.co/gmbZDhypXL",https://pbs.twimg.com/profile_images/1600325215023759367/PNTmpFs9_normal.jpg,United States,course indiana leading charge,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13835,15221,259,259,2022-11-21 15:54:01+00:00,naphtalitbryant,719961731926065153,"Student Loans: Supreme Court Denies Block of Biden’s Forgiveness Plans, So Why Is it Still on Pause? 

https://t.co/poPtAaYMeb

#sparkeduniversity #studentloans #studentdebt",https://pbs.twimg.com/profile_images/727875162511532032/0rfP_kdy_normal.jpg,United States,student loans supreme court denies block biden forgiveness plans still pause,"{'neg': 0.31, 'neu': 0.38, 'pos': 0.31, 'compound': 0.0}",Neutral
13839,15225,263,263,2022-11-21 15:15:15+00:00,Spark_EDUn,1013935635864965120,"Article: Student Loans: Supreme Court Denies Block of Biden’s Forgiveness Plans, So Why Is it Still on Pause? 

https://t.co/8fZQkt2XoW

#sparkeduniversity #studentloans #studentdebt",https://pbs.twimg.com/profile_images/1057308742633566211/keEOsfHp_normal.jpg,United States,article student loans supreme court denies block biden forgiveness plans still pause,"{'neg': 0.294, 'neu': 0.412, 'pos': 0.294, 'compound': 0.0}",Neutral
13852,15240,278,278,2022-11-20 02:16:42+00:00,iskandrah,160304538,A lot of us got this email from Secretary Cardona #StudentDebt https://t.co/E4RvBvXMvC,https://pbs.twimg.com/profile_images/1590558816961191940/q1y3OXxP_normal.jpg,United States,lot us got email secretary cardona,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
13853,15241,279,279,2022-11-20 02:02:43+00:00,FonkTherapy,77255624,I don't understand how anyone would want to stop the #StudentDebt relief program. Stopping it only hurts people like me and does absolutely nothing for/against anyone else.,https://pbs.twimg.com/profile_images/1364036281534058500/ZyicbfnK_normal.jpg,United States,dont understand anyone would want stop relief program stopping hurts people like absolutely nothing anyone else,"{'neg': 0.29, 'neu': 0.42, 'pos': 0.29, 'compound': 0.0}",Neutral
13868,15258,296,296,2022-11-19 04:57:02+00:00,qireau,89100193,"@DfectivBeing @kylegriffin1 gop is not even in power. 

this is a measure that needs to pass congress according to the Constitution Appropriations Clause. no one can appropriate tax funds w/o a vote in congress.  
#studentdebt 

https://t.co/W3JTcofD3E https://t.co/5CC345wvea",https://pbs.twimg.com/profile_images/1566523841916162053/ok2K7AqF_normal.jpg,United States,gop even power measure needs pass congress according constitution appropriations clause one appropriate tax funds w vote congress,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
